Original_Description,Manual_Category_Selected,Manual_Subcategory_Selected,
Folding%20chair,Furniture,Ordinary Furniture,
Coloring cardboard  playhouse,Toys and Games,Playing Cards Unopened,
Green%20Gorilla%20Steel%20Utility%20Garden%20Cart%206%20cu.%20ft.,Tools,"Tool chests, tool boxes and tool carts - Under $200",
Razor 10 years old,Personal Care and Beauty,Razor - Steel,
Up%26up%20Desinfecting%20Wipes,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
Metal%20golden%20container,Furniture,Military Display Cases,
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
wooden cart vintage rolling cart,Furniture,Microwave Cart and Stands,
Longaberger Wrought Iron Pie Stand,Furniture,Metal Shelving,
Tornado T-3000 Black Foosball Table,Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
Stainless Steele Trash Can,Housewares Home Decor,Taxidermy Items,
1 gray and green back brace,Personal Care and Beauty,Heating Pad,
steepleton pool table vintage,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Leather Slippers-UGG-Amazon,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Metabo%20HPT%209-Gallons%20Portable%20145%20PSI%20Horizontal%20Air%20Compresor,Tools,Pneumatic Tools - Over $200,
Set of marble corner table,Furniture,"Marble Lamps, Table Tops etc.",
Large Round Brush,Personal Care and Beauty,"Brushes - Clothes, Hair",
Deck%20stain,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
Dix It,Toys and Games,Board Games,
MNG-1004-AB solid antique brass 5pcs set 214280 (new in box) $19.95 each,Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
kingsford 2 pk utility lighters,Personal Care and Beauty,Cigarette Lighter,
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
decorative salt and pepper,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Marble Lazy Susan,Furniture,Microwave Cart and Stands,
HVAC Filters,Housewares Home Decor,Fireplace Screens and Accessories,
Black Mat,Housewares Home Decor,"Carpet Runner, Mats & Outdoor",
2 crescent garden planters,Housewares Home Decor,Houseplants - Indoor,
curtain rod,Housewares Home Decor,Traverse Rods,
Vase / Crystal vase,Housewares Home Decor,Vases,
6x9%20oriental%20handmade%20rug%20(16673%20albrite),Housewares Home Decor,"Rugs $1,000 or More",
wall%20poster,Housewares Home Decor,Posters - Framed or Unframed,
American Doll Bitty Baby outfits with shoes and accessories,Toys and Games,Porcelain Dolls (Decoration Only),
Lingerie%20laundry%20bags,Housewares Home Decor,Hampers,
"table,%20antique%20wood%20-%20insured%20to%20check%20with%20the%20Adjuster",Furniture,Antique,
Melted%20Together%20Tote%20With%20Family%20Pictures,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
Appliance: Misc Appliance (Kitchen) Faberware,Appliances,Microwaves,
Umbrella - Hand,Clothing and Accessories,Umbrella,
Metal%20golden%20container,Furniture,Military Display Cases,
Pool Table 7ft,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Adult Toy.s,Personal Care and Beauty,Adult Toys,
porcelain doll,Toys and Games,Porcelain Dolls (Decoration Only),
"Brass%20mantel%20clock%20with%20two%20cherubs%20on%20each%20side%20-%20French,%20antique",Housewares Home Decor,Grandfather Clock,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
privacy ornamental screen 3 fold,Housewares Home Decor,"Room Dividers, Folding Screens",
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
"7"" x 3” LED Flickering Flame Candle Cream - Threshold",Housewares Home Decor,"Lamps, Lighting & Supplies",
1%20Italian%20black%20Caribinieri%20hat%20presented%20to%20Air%20Force%20Commander%201972%20(family%20heirloom),Clothing and Accessories,Military Uniforms,
Apple iPod 16GB and Red Silicone Case,Electronics,Electronic Accessories,
Behr%20Exterior%20Satin%20gallon,Housewares Home Decor,Artificial Flowers and Fruits,
QTIPS,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
HVAC Filters,Housewares Home Decor,Fireplace Screens and Accessories,
Dr Teals Soothe & Sleep with Lavender 6 Piece Set,Personal Care and Beauty,Toiletries,
Metal%20golden%20container,Furniture,Military Display Cases,
Lego harry potter brick headz,Toys and Games,Board Games,
"heating%20wrap,%20infrared%20UTK",Personal Care and Beauty,Heating Pad,
Window Blinds,Housewares Home Decor,Venetian Blinds,
solar lights solar outdoor lighting replacements,Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
Life%20Jacket,Sporting Goods and Outdoors,Boating Equipment and Supplies,
Wall Mirrior,Housewares Home Decor,Mirrors & Framed Mirrors,
Antiques,Furniture,Antique,
Razor,Personal Care and Beauty,Razor - Steel,
Leupold VX 5HD 3-15x44 CDS-ZL2 \n 30mm side focus Illum. Fire dot duplex  \n 172368 I have burned scope,Sporting Goods and Outdoors,Scope,
Light Pink Tail Comb (part of another set),Personal Care and Beauty,Toiletries,
Santos%20Upholstered%20Sectional%20(like%20item),Furniture,Ordinary Furniture,
10%20ft%20Bamboo%20sun%20shade,Housewares Home Decor,"Room Dividers, Folding Screens",
1%20green%20%26%20yellow%20beaded%20lamp%20shade,Housewares Home Decor,Lamp Shade,
Purses,Clothing and Accessories,Handbags and Purses Less than $150,
Tarot Cards,Toys and Games,Playing Cards,
4%20Ratchet%20Straps,Sporting Goods and Outdoors,Boating Equipment and Supplies,
Modular Mobile Panel Tower by Simply Tidy™,Housewares Home Decor,"Storage Containers, Plastic Tubs",
4 basic short cabinets,Tools,"Tool chests, tool boxes and tool carts - Under $200",
SOLAR%20PANELS%2015W%20RAVPOWER,Tools,Lifetime Warranty Tools,
Pool table,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Vtech Go Go Smart Wheels RC Racers,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Professional dance costumes,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
1%20antique%20brass%20and%20crystal%20cherub%20table%20lamp%20(antique%20grandmothers),Furniture,Antique,
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
Tool%20Bag%20on%20Wheels,Tools,"Tool chests, tool boxes and tool carts - Under $200",
10 foot ladder (orange),Tools,Ladders,
8%22x10%22%20Omega%20Black%20Shadow%20Box%20Frame%20-%20Shadow%20Boxes%20%26%20Display%20Cases%20-%20Home%20%26%20Decor%20...,Housewares Home Decor,Pictures / Frames / Glass for Tabletops,
"Wahid Nahle Daydreams painting (original) w frame, 30 x 24",Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
woven%20window%20shades,Housewares Home Decor,Venetian Blinds,
Train Table,Furniture,Infant and Children,
Health Beauty Products,Personal Care and Beauty,Cosmetics / Makeup,
1/4%22%20WOOD%20TABLE%20COVER%20PADS%20(FELT%20%26%20VINYL),Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
whitens teeth in one week philip,Personal Care and Beauty,Dental Equipment,
Eaton\tRug\t8\tx\t10,Housewares Home Decor,"Rugs $1,000 or More",
"Kemore%20500%20Washer,%20model%2010029522801",Appliances,Washing Machine,
"Craig%20Frames%207171610BK%2016%20by%2022-Inch%20Picture%20Frame,%20Solid%20Wood,%20825-Inch%20Wide,%20Black",Housewares Home Decor,Pictures / Frames / Glass for Tabletops,
coat hook rack,Furniture,Ordinary Furniture,
2 pc Tool Chest - Sears - Craftmans,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Pool Table 7ft,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Alarm Clock,Housewares Home Decor,Clocks Under $25 New,
Craftsman Reciprocating Saw,Tools,Power Tools & Accessories - Under $100,
Whirlpool Dryer Model Number LER7646AWO,Appliances,Dryer - Electric or Gas,
Bottle%20of%20Fee%20Brothers%20black%20walnut%20bitters,Food Supplies,Alcoholic Beverages,
Yellow Leaf Hammocks,Furniture,Lawn Furniture,
Ryobi%20battery%20and%20charger,Tools,Power Tools & Accessories - Under $100,
Electric Curlers Conair compact 30 piece,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Snap%20ON36%22%20Seven-Drawer%20EPIQ%E2%84%A2%20Series%20End%20Cabinet%20(Red)%20KEEN361A0PB,Tools,Work Benches - Over $500,
3%2010%E2%80%99%20sticks%20of%20blue%20pex%20plumbing%20pipe%203/4%E2%80%9D,Tools,Pneumatic Tools - Under $200,
porcelain doll,Toys and Games,Porcelain Dolls (Decoration Only),
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
9%20cube%20storage%20shelf,Housewares Home Decor,Bookends,
30 Ton Bottle Jack,Tools,Power Tools & Accessories - Over $100,
Ooh%20La%20La%20new%20biotex%20fake%20hair,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
couch- loveseat- blue,Furniture,"Hardware for Beds, Dresser Etc.",
work bench,Tools,Work Benches - Over $500,
"Giantess 6 Person Wooden Picnic Table Set with Wood Bench, with Umbrella Hold Design, Perfect for Outdoor Garden Yard Pub Beer Dining, Dark Brown",Furniture,Lawn Furniture,
Cornstarch,Food Supplies,Beverages and Staples,
Metal%20golden%20container,Furniture,Military Display Cases,
Contractor bag of 42 articles of off-season clothing,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
Bose stereo system,Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
Jamis trail XR Bike,Sporting Goods and Outdoors,Bicycles,
Pipe%20Wrench,Tools,Lifetime Warranty Tools,
Car%20Jacks%20Heavy%20Duty,Tools,Pneumatic Tools - Over $200,
Installation,Tools,Work Benches - Over $500,
1 90g sd de chateau,Food Supplies,Alcoholic Beverages,
pink%20flower%20canvas%20art,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Under $1000",
Metal%20Standing%20Shelf%20on%20top%20of%20Bench%20-%207%20Shelves,Furniture,Metal Shelving,
Hot%20Tool%201%201/4%20Ceramic%20Curling%20Iron,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
17x25 fireplace screen/grill 3 section,Housewares Home Decor,Fireplace Screens and Accessories,
Inevifit Bathroom Scale,Personal Care and Beauty,Scales - Bathroom,
Scissors%20Metal,Personal Care and Beauty,Scissors,
dryer general electric gas,Appliances,Dryer - Electric or Gas,
Vtech Go Go Smart Wheels Rescue Vehicles,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Mousetrap%20boardgame,Toys and Games,Board Games,
cd player/radio tylee portable boom box,Electronics,"DVD, Blu-Ray Player & DVR",
Burt%20Aftershave%20(7%200z),Personal Care and Beauty,Barber Equipment,
Salon%20Rollabout%20Hairdryer,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Coloring cardboard  playhouse,Toys and Games,Playing Cards Unopened,
Electric%20toothbrush%20refill,Personal Care and Beauty,Dental Equipment,
Gucci Sandals Thong,Clothing and Accessories,"Fine Material Leather, Wool, Etc.",
Weight scale,Personal Care and Beauty,Scales - Bathroom,
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
parts%20washer,Tools,Pneumatic Tools - Over $200,
Pool table,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Tool%20Box%20-%203pc-%20Tall%20-%20Middle%20Box/Lower%20-%20Premium%208%20-%20Drawer,Tools,"Tool chests, tool boxes and tool carts - Over $200",
Barilla Spaghetti,Food Supplies,Beverages and Staples,
1 crabtree & evelyn verbena lavender body lotion .8 fl oz,Personal Care and Beauty,Cosmetics / Makeup,
2 50 ft extension cords Yellow Jacket,Tools,Power Tools & Accessories - Under $100,
Wood Sofa Tables,Furniture,"Marble Lamps, Table Tops etc.",
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
telescope,Sporting Goods and Outdoors,Scope,
White%20glass%20vase,Housewares Home Decor,Vases,
2 Trek bicycles,Sporting Goods and Outdoors,Bicycles,
1 6oz can private selection kc inspired seasoning rub,Food Supplies,Beverages and Staples,
X-ACTO® #2 Aluminum Knife,Personal Care and Beauty,Pocket Knife,
1 head softac,Sporting Goods and Outdoors,Unopened Golf or Tennis Balls,
Purple Unicorn Plush (Small),Toys and Games,Stuffed Animals,
31%20Day%20Wall%20Clock%201980's,Housewares Home Decor,Clocks Over $25 New,
Side table,Furniture,Antique,
Ooh%20La%20La%20new%20biotex%20fake%20hair,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
Vortex Crossfire CF 4312 HD 10 X 42 Binocular,Sporting Goods and Outdoors,Binoculars,
Curtains / drapes - High grade,Housewares Home Decor,Curtains & Draperies,
antique peacok chairs,Furniture,Antique,
Metal%20golden%20container,Furniture,Military Display Cases,
Velineon Rustler extreme brushless power system 70  mph Traxxas ready to race power cell,Toys and Games,"Radio Controlled Cars, Boats Etc.",
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
1 cut extra green green beans kroger 14.5 oz,Food Supplies,Canned - Commercial & Home,
1 leather fossil passport holder,Clothing and Accessories,Handbags and Purses Less than $150,
Bottle%20of%20Hine%20the%20original%20cognac,Food Supplies,Alcoholic Beverages,
Wicker plant stand,Housewares Home Decor,Vases,
Health & Beauty,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
Coat rack Kertnic metal coat rack,Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
section%20of%20pallet%20racking%20with%20grates,Tools,Work Benches - Over $500,
Small Electric Heating Pad,Personal Care and Beauty,Heating Pad,
1 medium sized decorative rug,Housewares Home Decor,Rugs Under $500,
Lamp%20Shade,Housewares Home Decor,"Lamps, Lighting & Supplies",
steepleton pool table vintage,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
Xbox One X 1TB,Toys and Games,"Electronic Games, Nintendo, Atari, Sony PlayStation, Handheld, Cartridges, Disks",
3 dior spa tools,Personal Care and Beauty,Toiletries,
TG%20LLC%20FREEMASON%20BROTHERS%20MASONIC%20CLOCK,Housewares Home Decor,Clocks Over $25 New,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
Vera Bradly Sling Pack,Clothing and Accessories,Handbags and Purses Less than $150,
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
600%20Grit%20Grinder%20Paper,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
Extra Capacity Dryer Kenmore Elite 7cu ft (11066942501),Appliances,Dryer - Electric or Gas,
Lab Coat-Medium-Grey's Anatomy-Life Uniform,Clothing and Accessories,Work Uniform,
Bike-mens - Actual Bike (Dick's Sporting) Nishiki,Sporting Goods and Outdoors,Bicycles,
Hose clamp pliers,Tools,Hand Tools - Under $200,
Xbox%20360%20games,Toys and Games,"Electronic Games, Nintendo, Atari, Sony PlayStation, Handheld, Cartridges, Disks",
Rosetti%20purse%20tote%20bag,Clothing and Accessories,Handbags and Purses Less than $150,
Outdoor Kids Picnic Table with Chairs,Furniture,Infant and Children,
Brushes,Personal Care and Beauty,"Brushes - Clothes, Hair",
Fire place grate,Housewares Home Decor,Fireplace Screens and Accessories,
Pool table,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Outdoor Plastic Chairs,Furniture,Lawn Furniture,
%22The%20Cheetah%20Girls%202%22%20DVD,Electronics,"DVD, Blu-Ray Player & DVR",
weight scale,Personal Care and Beauty,Scales - Bathroom,
Peepers%20blue%20light%20glasses,Personal Care and Beauty,"Eye Glasses, Contacts",
Sideboard,Furniture,"Hardware for Beds, Dresser Etc.",
"Entry way carpet, custom",Housewares Home Decor,Rugs Under $500,
10%20ft%20Bamboo%20sun%20shade,Housewares Home Decor,"Room Dividers, Folding Screens",
Warner%208'%20Fiberglass%20step%20ladder,Tools,Ladders,
Resolute Pool Table,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Chinese%20Checkers%20board%20game,Toys and Games,Board Games,
Pool table,Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
Lighter,Personal Care and Beauty,Cigarette Lighter,
coffee maker - Keurig,Appliances,Minor Appliances Under $200,
Metal%20scissors,Personal Care and Beauty,Scissors,
Utilitech%2024%22%20Shop%20Fan,Tools,Lifetime Warranty Tools,
Flounder (Disney) Plush (Medium),Toys and Games,Stuffed Animals,
"Cotton Round Holder or Bathroom Cup Dispenser with Bamboo Lid, Clear Acrylic Cosmetics Make Up Cotton Pads Dispenser for Bathroom Guest Room Vanity Countertops",Housewares Home Decor,"Storage Containers, Plastic Tubs",
Tornado T-3000 Black Foosball Table,Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
Melted%20Together%20Tote%20With%20Family%20Pictures,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
Adult%20Toy,Personal Care and Beauty,Adult Toys,
portable charger - iwalk,Electronics,Electronic Accessories,
Plastic%20Box%20for%20Dentures,Personal Care and Beauty,Dentures,
6 foot ladder (orange),Tools,Ladders,
bluetooth sound canceling headphones,Electronics,Electronic Accessories,
4 basic short cabinets,Tools,"Tool chests, tool boxes and tool carts - Under $200",
6 build a bear bears,Toys and Games,Stuffed Animals,
Metal%20golden%20container,Furniture,Military Display Cases,
PLANK AND HYDE POOL TABLE,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Lighter,Personal Care and Beauty,Cigarette Lighter,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
"fabric%20softener,%20baby%20detergent,%20laundry%20detergent,%20dryer%20sheets%20etc",Housewares Home Decor,"Bric-a-brac - Inexpensive Figurines, Sculptures, Ornamental, Wall Hangings Etc.",
Candle,Housewares Home Decor,Candles - Unused,
Paddle for boat,Tools,Hand Tools - Under $200,
FAST. FLUID. FLAWLESS.,Electronics,Mobile Telephones,
Fishtail%20Palm%20Artificial%20Tree,Housewares Home Decor,Artificial Flowers and Fruits,
Deck of Playing Cards Phillies,Toys and Games,Playing Cards,
White%20wall%20(grateful%20helmet),Sporting Goods and Outdoors,Sporting Equipment and Supplies,
Curl Collective Wavy Jaw Clip,Personal Care and Beauty,Toiletries,
2 basic tall cabinets sets,Tools,"Tool chests, tool boxes and tool carts - Under $200",
